atom,orbital,Z,epsilon,npts,r_core_min,prob_rel_cut,alpha,fa_max_abs,fa_r_at_max,fa_tail_abs,fa_r_tail,fa_rms_P,fa_mean_P,fa_p99_abs,fa_Zeff_tail_err,cache_present,cache_max_abs,cache_r_at_max,cache_tail_abs,cache_r_tail,cache_rms_P,cache_mean_P,cache_p99_abs,cache_Zeff_tail_err
S,2p,16,-6.682509,83,0.5,1e-06,0.6666666666666666,3.0524247790925214,2.780187513613095,3.0524247790925214,2.780187513613095,0.08038775239858659,0.043323563526693254,2.8740572958187585,0.001077644698717961,1,3.0491614644648317,2.780187513613095,3.0491614644648317,2.780187513613095,0.290463873383313,0.2893305756889682,2.8704557332963185,0.0
S,3p,16,-0.4373688,148,0.5,1e-06,0.6666666666666666,7.460569869565616,0.5861353420453874,0.0026765643553543494,10.940095842410463,0.2728505716939897,0.22668970162289012,5.508497729488856,0.001077644698717961,1,7.497631512615145,0.5623014592708085,0.0028146037690599535,10.940095842410463,0.14037793720544642,0.12038239615691335,5.3528392542257555,0.0
Cl,1s,17,-104.8844208,14,0.5,1e-06,0.6666666666666666,30.163186524878142,0.66387146683662,30.163186524878142,0.66387146683662,14.965151797029304,-14.422547336980024,29.8901532943581,0.0011493979826546763,1,29.810617505155506,0.66387146683662,29.810617505155506,0.66387146683662,14.48607241129764,-13.909669591657686,29.535748446667444,0.0
Cl,2s,17,-10.6074807,74,0.5,1e-06,0.6666666666666666,4.323292316867241,2.3064547938592614,4.323292316867241,2.3064547938592614,0.14584643100216263,-0.10269781225435452,4.066309826640934,0.0011493979826546763,1,4.316910905875759,2.3064547938592614,4.316910905875759,2.3064547938592614,0.16714623329328215,0.15671800842487313,4.059387403785748,0.0
Cl,3s,17,-1.0729121,131,0.5,1e-06,0.6666666666666666,17.261133152762916,0.550750451073637,0.169199539534864,7.529442890062976,0.25537007651429794,0.18170708637210073,9.379518648898125,0.0011493979826546763,1,16.69826978564536,0.550750451073637,0.16921052301930284,7.529442890062976,0.1311405346083475,0.07918748524358413,9.622217811209854,0.0
Cl,2p,17,-8.0722274,81,0.5,1e-06,0.6666666666666666,4.999646133900393,2.667137406346789,4.999646133900393,2.667137406346789,0.10318515259988122,0.05744515654303108,4.794320058387376,0.0011493979826546763,1,4.996858156752312,2.667137406346789,4.996858156752312,2.667137406346789,0.3372417379855602,0.33461483366917943,4.79123547914184,0.0
Cl,3p,17,-0.5063999,144,0.5,1e-06,0.6666666666666666,16.85083062527172,0.5283554157510282,0.000707157018076443,9.861645378696991,0.28625830221210763,0.23971962952535195,9.89321070952023,0.0011493979826546763,1,16.158069186448447,0.5283554157510282,0.000546726656039831,9.861645378696991,0.14492092522922398,0.1271097537872249,10.008377469657663,0.0
Ar,1s,18,-118.6103508,11,0.5,1e-06,0.6666666666666666,31.528976239957785,0.6237936592243106,31.528976239957785,0.6237936592243106,18.889769824295087,-18.449471528651717,31.310425488781146,0.0012208326241136547,1,31.136548126841944,0.6237936592243106,31.136548126841944,0.6237936592243106,18.394756829276684,-17.931858609968355,30.916412781088543,0.0
Ar,2s,18,-12.3221535,71,0.5,1e-06,0.6666666666666666,5.654619529123899,2.1672145099903846,5.654619529123899,2.1672145099903846,0.12402353617299927,-0.05244178616863339,5.373489791316821,0.0012208326241136547,1,5.648303196085147,2.1672145099903846,5.648303196085147,2.1672145099903846,0.24179703475519526,0.2318412326128222,5.366643576687384,0.0
Ar,3s,18,-1.277353,126,0.5,1e-06,0.6666666666666666,7.7790600271522745,0.5175017399553535,0.219929583137093,6.929556614622749,0.21453426165131648,0.12403995959849395,3.6607285408755654,0.0012208326241136547,1,7.226206517041559,0.5175017399553535,0.21994116027075272,6.929556614622749,0.09665755266822312,0.018590348619842934,3.12963354499212,0.0
Ar,2p,18,-9.5714658,72,0.5,1e-06,0.6666666666666666,2.322752199952207,2.212667968123966,2.322752199952207,2.212667968123966,0.14937763906712145,0.10571853566576267,2.180695027535936,0.0012208326241136547,1,2.317123742588251,2.212667968123966,2.317123742588251,2.212667968123966,0.40992843900019277,0.40766662886348626,2.1745783438471054,0.0
Ar,3p,18,-0.5910174,140,0.5,1e-06,0.6666666666666666,3.879986670249055,0.5068710244526289,0.0004910320628725429,9.075947711244547,0.2863751846194507,0.23628231060879282,2.707667016971612,0.0012208326241136547,1,3.2153760487703504,0.5068710244526289,0.0003277635886984043,9.075947711244547,0.13708725108495468,0.11768211667363186,2.0680335619787074,0.0
K,1s,19,-133.5330493,8,0.5,1e-06,0.6666666666666666,32.101408850224715,0.5861353420453874,32.101408850224715,0.5861353420453874,22.943798985265236,-22.6603279130548,31.94574575460264,0.0012909364419471103,1,31.649352193417187,0.5861353420453874,31.649352193417187,0.5861353420453874,22.41686338640853,-22.120622184111426,31.492451157269798,0.0
K,2s,19,-14.4899575,68,0.5,1e-06,0.6666666666666666,6.513704613753539,2.036380138391496,6.513704613753539,2.036380138391496,0.12370126621040385,0.01996005200648939,6.230284696248489,0.0012909364419471103,1,6.4956399885428215,2.036380138391496,6.4956399885428215,2.036380138391496,0.35257274059347643,0.342673872382845,6.2115018844704455,0.0
K,3s,19,-1.7487797,120,0.5,1e-06,0.6666666666666666,2.387274593196622,0.5068710244526289,0.40446651215291074,5.992458069495393,0.18755313029550746,0.10142126019927777,1.8052028316792739,0.0012909364419471103,1,1.909857435800454,0.5068710244526289,0.4039960050015077,5.992458069495393,0.0821767028151217,0.013735749160797117,1.3475730704036892,0.0
K,4s,19,-0.1474751,184,0.5,1e-06,0.6666666666666666,8.55687207469206,1.5874010519681985,0.008203137868951355,22.621601308715636,0.16847165281263013,0.13400969114933992,2.113992374769842,0.0012909364419471103,1,8.188884055807717,1.5874010519681985,0.007864180143152405,22.621601308715636,0.04828325572363737,0.030166385764989624,1.274298942616246,0.0
K,2p,19,-11.5192795,68,0.5,1e-06,0.6666666666666666,2.4243949383973753,2.036380138391496,2.4243949383973753,2.036380138391496,0.20663382974262384,0.1677872016557515,2.2881108443697866,0.0012909364419471103,1,2.4063303555649664,2.036380138391496,2.4063303555649664,2.036380138391496,0.5097055983920763,0.5064814348743827,2.2693280943833667,0.0
